,rh,datetime
21047,81.4,2023-10-19 00:00:00
21048,81.3,2023-10-19 00:00:02
21049,81.3,2023-10-19 00:00:04
21050,81.1,2023-10-19 00:00:11
21051,81.1,2023-10-19 00:00:12
21052,81.2,2023-10-19 00:00:15
21053,81.1,2023-10-19 00:00:17
21054,81.0,2023-10-19 00:00:19
21055,81.1,2023-10-19 00:00:21
21056,81.1,2023-10-19 00:00:23
21057,81.0,2023-10-19 00:00:25
21058,81.0,2023-10-19 00:00:27
21059,81.0,2023-10-19 00:00:29
21060,81.0,2023-10-19 00:00:31
21061,80.9,2023-10-19 00:00:33
21062,81.0,2023-10-19 00:00:35
21063,80.9,2023-10-19 00:00:41
21064,81.0,2023-10-19 00:00:43
21065,80.9,2023-10-19 00:00:45
21066,80.9,2023-10-19 00:00:47
21067,81.0,2023-10-19 00:00:49
21068,81.0,2023-10-19 00:00:51
21069,80.9,2023-10-19 00:00:53
21070,80.9,2023-10-19 00:00:55
21071,80.9,2023-10-19 00:00:57
21072,80.8,2023-10-19 00:00:59
21073,80.9,2023-10-19 00:01:01
21074,80.9,2023-10-19 00:01:03
21075,80.8,2023-10-19 00:01:05
21076,80.7,2023-10-19 00:01:12
21077,80.7,2023-10-19 00:01:13
21078,80.9,2023-10-19 00:01:15
21079,80.8,2023-10-19 00:01:17
21080,80.8,2023-10-19 00:01:19
21081,80.8,2023-10-19 00:01:21
21082,80.8,2023-10-19 00:01:23
21083,80.8,2023-10-19 00:01:25
21084,80.8,2023-10-19 00:01:27
21085,80.7,2023-10-19 00:01:29
21086,80.8,2023-10-19 00:01:31
21087,80.7,2023-10-19 00:01:33
21088,80.8,2023-10-19 00:01:35
21089,80.8,2023-10-19 00:01:42
21090,80.7,2023-10-19 00:01:43
21091,80.7,2023-10-19 00:01:45
21092,80.7,2023-10-19 00:01:47
21093,80.7,2023-10-19 00:01:49
21094,80.7,2023-10-19 00:01:51
21095,80.8,2023-10-19 00:01:53
21096,80.8,2023-10-19 00:01:55
21097,80.8,2023-10-19 00:01:57
21098,80.7,2023-10-19 00:01:59
21099,80.7,2023-10-19 00:02:01
21100,80.6,2023-10-19 00:02:03
21101,80.7,2023-10-19 00:02:05
21102,80.7,2023-10-19 00:02:12
21103,80.6,2023-10-19 00:02:13
21104,80.7,2023-10-19 00:02:15
21105,80.8,2023-10-19 00:02:17
21106,80.6,2023-10-19 00:02:19
21107,80.7,2023-10-19 00:02:21
21108,80.7,2023-10-19 00:02:23
21109,80.6,2023-10-19 00:02:25
21110,80.7,2023-10-19 00:02:27
21111,80.6,2023-10-19 00:02:29
21112,80.6,2023-10-19 00:02:31
21113,80.6,2023-10-19 00:02:33
21114,80.7,2023-10-19 00:02:35
21115,80.6,2023-10-19 00:02:42
21116,80.5,2023-10-19 00:02:43
21117,80.5,2023-10-19 00:02:45
21118,80.5,2023-10-19 00:02:47
21119,80.6,2023-10-19 00:02:49
21120,80.5,2023-10-19 00:02:51
21121,80.5,2023-10-19 00:02:53
21122,80.5,2023-10-19 00:02:55
21123,80.3,2023-10-19 00:02:57
21124,80.4,2023-10-19 00:02:59
21125,80.3,2023-10-19 00:03:01
21126,80.4,2023-10-19 00:03:03
21127,80.4,2023-10-19 00:03:05
21128,80.5,2023-10-19 00:03:12
21129,80.4,2023-10-19 00:03:13
21130,80.4,2023-10-19 00:03:15
21131,80.4,2023-10-19 00:03:17
21132,80.4,2023-10-19 00:03:19
21133,80.4,2023-10-19 00:03:21
21134,80.4,2023-10-19 00:03:23
21135,80.3,2023-10-19 00:03:25
21136,80.4,2023-10-19 00:03:27
21137,80.3,2023-10-19 00:03:29
21138,80.4,2023-10-19 00:03:31
21139,80.4,2023-10-19 00:03:33
21140,80.4,2023-10-19 00:03:35
21141,80.3,2023-10-19 00:03:42
21142,80.4,2023-10-19 00:03:43
21143,80.3,2023-10-19 00:03:45
21144,80.1,2023-10-19 00:03:47
21145,80.3,2023-10-19 00:03:49
21146,80.3,2023-10-19 00:03:51
21147,80.2,2023-10-19 00:03:53
21148,80.3,2023-10-19 00:03:55
21149,80.3,2023-10-19 00:03:57
21150,80.4,2023-10-19 00:03:59
21151,80.3,2023-10-19 00:04:01
21152,80.3,2023-10-19 00:04:03
21153,80.3,2023-10-19 00:04:05
21154,80.3,2023-10-19 00:04:12
21155,80.2,2023-10-19 00:04:13
21156,80.3,2023-10-19 00:04:15
21157,80.3,2023-10-19 00:04:17
21158,80.3,2023-10-19 00:04:20
21159,80.3,2023-10-19 00:04:21
21160,80.3,2023-10-19 00:04:23
21161,80.3,2023-10-19 00:04:26
21162,80.3,2023-10-19 00:04:28
21163,80.4,2023-10-19 00:04:30
21164,80.3,2023-10-19 00:04:32
21165,80.4,2023-10-19 00:04:34
21166,80.4,2023-10-19 00:04:36
21167,80.4,2023-10-19 00:04:42
21168,80.4,2023-10-19 00:04:44
21169,80.4,2023-10-19 00:04:46
21170,80.4,2023-10-19 00:04:48
21171,80.4,2023-10-19 00:04:50
21172,80.4,2023-10-19 00:04:52
21173,80.5,2023-10-19 00:04:54
21174,80.4,2023-10-19 00:04:56
21175,80.5,2023-10-19 00:04:58
21176,80.5,2023-10-19 00:05:00
21177,80.5,2023-10-19 00:05:02
21178,80.5,2023-10-19 00:05:04
21179,80.5,2023-10-19 00:05:06
21180,80.5,2023-10-19 00:05:12
21181,80.6,2023-10-19 00:05:14
21182,80.5,2023-10-19 00:05:16
21183,80.5,2023-10-19 00:05:18
21184,80.6,2023-10-19 00:05:20
21185,80.6,2023-10-19 00:05:22
21186,80.6,2023-10-19 00:05:24
21187,80.6,2023-10-19 00:05:26
21188,80.5,2023-10-19 00:05:28
21189,80.5,2023-10-19 00:05:30
21190,80.6,2023-10-19 00:05:32
21191,80.5,2023-10-19 00:05:34
21192,80.6,2023-10-19 00:05:36
21193,80.6,2023-10-19 00:05:43
21194,80.6,2023-10-19 00:05:44
21195,80.5,2023-10-19 00:05:46
21196,80.5,2023-10-19 00:05:48
21197,80.7,2023-10-19 00:05:50
21198,80.5,2023-10-19 00:05:52
21199,80.6,2023-10-19 00:05:54
21200,80.6,2023-10-19 00:05:56
21201,80.6,2023-10-19 00:05:58
21202,80.6,2023-10-19 00:06:00
21203,80.4,2023-10-19 00:06:02
21204,80.5,2023-10-19 00:06:04
21205,80.5,2023-10-19 00:06:06
21206,80.5,2023-10-19 00:06:13
21207,80.5,2023-10-19 00:06:14
21208,80.5,2023-10-19 00:06:16
21209,80.5,2023-10-19 00:06:18
21210,80.4,2023-10-19 00:06:20
21211,80.5,2023-10-19 00:06:22
21212,80.5,2023-10-19 00:06:24
21213,80.4,2023-10-19 00:06:26
21214,80.4,2023-10-19 00:06:28
21215,80.5,2023-10-19 00:06:30
21216,80.4,2023-10-19 00:06:32
21217,80.4,2023-10-19 00:06:34
21218,80.4,2023-10-19 00:06:36
21219,80.4,2023-10-19 00:06:43
21220,80.4,2023-10-19 00:06:44
21221,80.4,2023-10-19 00:06:46
21222,80.4,2023-10-19 00:06:48
21223,80.4,2023-10-19 00:06:50
21224,80.3,2023-10-19 00:06:52
21225,80.3,2023-10-19 00:06:54
21226,80.3,2023-10-19 00:06:56
21227,80.4,2023-10-19 00:06:58
21228,80.4,2023-10-19 00:07:00
21229,80.3,2023-10-19 00:07:02
21230,80.3,2023-10-19 00:07:04
21231,80.2,2023-10-19 00:07:06
21232,80.3,2023-10-19 00:07:13
21233,80.3,2023-10-19 00:07:14
21234,80.2,2023-10-19 00:07:16
21235,80.2,2023-10-19 00:07:18
21236,80.2,2023-10-19 00:07:20
21237,80.3,2023-10-19 00:07:22
21238,80.2,2023-10-19 00:07:24
21239,80.2,2023-10-19 00:07:26
21240,80.2,2023-10-19 00:07:28
21241,80.1,2023-10-19 00:07:30
21242,80.2,2023-10-19 00:07:32
21243,80.3,2023-10-19 00:07:34
21244,80.1,2023-10-19 00:07:36
21245,80.2,2023-10-19 00:07:43
21246,80.1,2023-10-19 00:07:44
21247,80.1,2023-10-19 00:07:46
21248,80.1,2023-10-19 00:07:48
21249,80.2,2023-10-19 00:07:50
21250,80.2,2023-10-19 00:07:52
21251,80.2,2023-10-19 00:07:54
21252,80.2,2023-10-19 00:07:56
21253,80.1,2023-10-19 00:07:58
21254,80.1,2023-10-19 00:08:00
21255,80.1,2023-10-19 00:08:02
21256,80.1,2023-10-19 00:08:04
21257,80.1,2023-10-19 00:08:06
21258,80.1,2023-10-19 00:08:13
21259,80.2,2023-10-19 00:08:14
21260,80.2,2023-10-19 00:08:16
21261,80.1,2023-10-19 00:08:18
21262,80.1,2023-10-19 00:08:20
21263,80.2,2023-10-19 00:08:22
21264,80.2,2023-10-19 00:08:24
21265,80.1,2023-10-19 00:08:26
21266,80.1,2023-10-19 00:08:28
21267,80.1,2023-10-19 00:08:30
21268,80.1,2023-10-19 00:08:32
21269,80.1,2023-10-19 00:08:34
21270,80.1,2023-10-19 00:08:37
21271,80.1,2023-10-19 00:08:43
21272,80.1,2023-10-19 00:08:45
21273,80.0,2023-10-19 00:08:47
21274,80.1,2023-10-19 00:08:49
21275,80.1,2023-10-19 00:08:51
21276,80.1,2023-10-19 00:08:53
21277,80.2,2023-10-19 00:08:55
21278,80.2,2023-10-19 00:08:57
21279,80.1,2023-10-19 00:08:59
21280,80.2,2023-10-19 00:09:01
21281,80.2,2023-10-19 00:09:03
21282,80.2,2023-10-19 00:09:05
21283,80.2,2023-10-19 00:09:07
21284,80.3,2023-10-19 00:09:13
21285,80.2,2023-10-19 00:09:15
21286,80.2,2023-10-19 00:09:17
21287,80.2,2023-10-19 00:09:19
21288,80.3,2023-10-19 00:09:21
21289,80.3,2023-10-19 00:09:23
21290,80.3,2023-10-19 00:09:25
21291,80.2,2023-10-19 00:09:27
21292,80.2,2023-10-19 00:09:29
21293,80.3,2023-10-19 00:09:31
21294,80.2,2023-10-19 00:09:33
21295,80.2,2023-10-19 00:09:35
21296,80.3,2023-10-19 00:09:37
21297,80.4,2023-10-19 00:09:44
21298,80.4,2023-10-19 00:09:45
21299,80.3,2023-10-19 00:09:47
21300,80.4,2023-10-19 00:09:49
21301,80.3,2023-10-19 00:09:51
21302,80.3,2023-10-19 00:09:53
21303,80.3,2023-10-19 00:09:55
21304,80.4,2023-10-19 00:09:57
21305,80.3,2023-10-19 00:09:59
21306,80.3,2023-10-19 00:10:01
21307,80.4,2023-10-19 00:10:03
21308,80.3,2023-10-19 00:10:05
21309,80.3,2023-10-19 00:10:07
21310,80.3,2023-10-19 00:10:14
21311,80.4,2023-10-19 00:10:15
21312,80.3,2023-10-19 00:10:17
21313,80.4,2023-10-19 00:10:19
21314,80.2,2023-10-19 00:10:21
21315,80.2,2023-10-19 00:10:23
21316,80.4,2023-10-19 00:10:25
21317,80.3,2023-10-19 00:10:27
21318,80.4,2023-10-19 00:10:29
21319,80.4,2023-10-19 00:10:31
21320,80.4,2023-10-19 00:10:33
21321,80.3,2023-10-19 00:10:35
21322,80.2,2023-10-19 00:10:37
21323,80.3,2023-10-19 00:10:44
21324,80.4,2023-10-19 00:10:45
21325,80.4,2023-10-19 00:10:47
21326,80.3,2023-10-19 00:10:49
21327,80.3,2023-10-19 00:10:51
21328,80.3,2023-10-19 00:10:53
21329,80.3,2023-10-19 00:10:55
21330,80.2,2023-10-19 00:10:57
21331,80.4,2023-10-19 00:10:59
21332,80.3,2023-10-19 00:11:01
21333,80.3,2023-10-19 00:11:03
21334,80.3,2023-10-19 00:11:05
21335,80.3,2023-10-19 00:11:07
21336,80.2,2023-10-19 00:11:14
21337,80.3,2023-10-19 00:11:15
21338,80.2,2023-10-19 00:11:17
