rh,datetime
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:08:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:09:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:10:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
86.3,2023-10-19 11:11:00
