,datetime,temp1,temp2,temp3,temp4,temp5,temp6,rh_1,rh_2,moist
0,00:00:00,,,,,8.187,,81.4,,
1,00:00:01,,,,,,8.375,,,
2,00:00:02,3.5,,,,,,81.3,,
3,00:00:03,,2.562,2.937,,,,,,
4,00:00:04,,,,5,,,81.3,,
5,00:00:05,,,,,8.187,,,,
6,00:00:06,,,,,,8.375,,,
7,00:00:07,3.5,,,,,,,,
8,00:00:08,,2.5,,,,,,,
9,00:00:09,,,2.937,,,,,,
10,00:00:10,,,,5,,,,,
11,00:00:11,,,,,8.187,8.375,81.1,,
12,00:00:12,3.5,,,,,,81.1,,
13,00:00:13,,2.5,,,,,,,
14,00:00:14,,,2.937,,,,,,
15,00:00:15,,,,4.937,,,81.2,,
16,00:00:16,,,,,8.187,,,,
17,00:00:17,,,,,,8.375,81.1,,
18,00:00:18,3.437,,,,,,,,
19,00:00:19,,2.562,2.937,,,,81,,
20,00:00:20,,,,4.937,,,,,
21,00:00:21,,,,,8.187,,81.1,,
22,00:00:22,,,,,,8.437,,,
23,00:00:23,3.5,,,,,,81.1,,
24,00:00:24,,2.562,,,,,,,
25,00:00:25,,,2.937,,,,81,,
26,00:00:26,,,,5,,,,,
27,00:00:27,,,,,8.187,,81,,
28,00:00:28,3.5,,,,,8.375,,,
29,00:00:29,,2.5,,,,,81,,
30,00:00:30,,,2.937,,,,,,
31,00:00:31,,,,5,,,81,,
32,00:00:32,,,,,8.187,,,,
33,00:00:33,,,,,,8.375,80.9,,
34,00:00:34,3.562,,,,,,,,
35,00:00:35,,2.437,,,,,81,,
36,00:00:36,,,3,5,,,,,
37,00:00:37,,,,,8.187,,,,
38,00:00:38,,,,,,8.375,,,
39,00:00:39,3.562,,,,,,,,
40,00:00:40,,2.437,,,,,,,
41,00:00:41,,,3,,,,80.9,,
42,00:00:42,,,,5,,,,,
43,00:00:43,,,,,8.187,,81,,
44,00:00:44,,,,,,8.375,,,
45,00:00:45,3.562,2.437,,,,,80.9,,
46,00:00:46,,,3,,,,,,
47,00:00:47,,,,5,,,80.9,,
48,00:00:48,,,,,8.187,,,,
49,00:00:49,,,,,,8.375,81,,
50,00:00:50,3.562,,,,,,,,
51,00:00:51,,2.437,,,,,81,,
52,00:00:52,,,3,,,,,,
53,00:00:53,,,,4.937,8.187,,80.9,,
54,00:00:54,,,,,,8.375,,,
