index,time,moisture ( manuallymeasured machine nr 1 ),moisture  ( manually measured machine nr 2 )
1,10:40,28.6,
2,10:50,28.3,
3,11:00,28.7,
4,11:10,27.6,
5,11:20,27,26.4
6,11:30,25.9,25
7,11:40,25.6,25.3
8,11:50,25.4,24.7
9,12:00,25.2,23.4
10,12:10,24.6,24.5
11,12:20,24.4,23.7
12,12:30,24.3,23
13,12:40,24.4,24
14,12:50,24.3,24.5
15,13:00,24,23.3
16,13:10,23.4,22
17,13:20,23.4,22
18,13:30,22.2,21.5
19,13:40,22.2,21.5
20,13:50,22.1,21.2
21,14:00,21.4,20.4
22,14:10,21,20.2
23,14:20,21.3,20.6
24,14:30,21,20.4
25,14:40,20.5,20.2
26,14:50,20.3,20.6
27,15:00,20,20.2
28,15:10,20.1,18.9
29,15:20,19.7,19.4
30,15:30,19.8,18.3
31,15:40,19.2,18.3
32,15:50,18.5,18.9
33,16:00,18.5,18.4
34,16:10,18.1,18.1
35,16:20,17.8,17.7
36,16:30,17.8,17.2
37,16:40,17.7,17.3
38,16:50,17.4,16.3
39,17:00,16.9,16.6
40,17:10,16.7,16.4
41,17:20,16.6,16.6
42,17:30,16,15.5
43,17:40,16.1,15.5
44,17:50,15.6,15.2
45,18:00,15.3,15.1
46,18:10,15,15.1
47,18:20,15.1,
48,18:30,,
49,18:40,14.2,13.4
50,18:50,14.1,13
51,19:00,13.4,13.2
52,19:10,13.1,12.3
53,19:20,12.9,13.8
54,19:30,12.6,12
