,temp,datetime
0,2.937,2023-10-19 00:00:03
1,2.937,2023-10-19 00:00:09
2,2.937,2023-10-19 00:00:14
3,2.937,2023-10-19 00:00:19
4,2.937,2023-10-19 00:00:25
5,2.937,2023-10-19 00:00:30
6,3.0,2023-10-19 00:00:36
7,3.0,2023-10-19 00:00:41
8,3.0,2023-10-19 00:00:46
9,3.0,2023-10-19 00:00:52
10,3.0,2023-10-19 00:00:57
11,3.062,2023-10-19 00:01:02
12,3.062,2023-10-19 00:01:08
13,3.062,2023-10-19 00:01:13
14,3.062,2023-10-19 00:01:19
15,3.062,2023-10-19 00:01:24
16,3.062,2023-10-19 00:01:29
17,3.125,2023-10-19 00:01:35
18,3.125,2023-10-19 00:01:40
19,3.125,2023-10-19 00:01:45
20,3.125,2023-10-19 00:01:51
21,3.125,2023-10-19 00:01:56
22,3.125,2023-10-19 00:02:02
23,3.125,2023-10-19 00:02:07
24,3.125,2023-10-19 00:02:12
25,3.125,2023-10-19 00:02:18
26,3.125,2023-10-19 00:02:23
27,3.125,2023-10-19 00:02:28
28,3.125,2023-10-19 00:02:34
29,3.125,2023-10-19 00:02:39
30,3.125,2023-10-19 00:02:45
31,3.125,2023-10-19 00:02:50
32,3.125,2023-10-19 00:02:55
33,3.125,2023-10-19 00:03:01
34,3.125,2023-10-19 00:03:06
35,3.062,2023-10-19 00:03:11
36,3.062,2023-10-19 00:03:17
37,3.062,2023-10-19 00:03:22
38,3.125,2023-10-19 00:03:28
39,3.125,2023-10-19 00:03:33
40,3.125,2023-10-19 00:03:38
41,3.125,2023-10-19 00:03:44
42,3.125,2023-10-19 00:03:49
43,3.125,2023-10-19 00:03:54
44,3.125,2023-10-19 00:04:00
45,3.125,2023-10-19 00:04:05
46,3.125,2023-10-19 00:04:11
47,3.125,2023-10-19 00:04:16
48,3.125,2023-10-19 00:04:21
49,3.125,2023-10-19 00:04:26
50,3.125,2023-10-19 00:04:32
51,3.125,2023-10-19 00:04:37
52,3.125,2023-10-19 00:04:43
53,3.125,2023-10-19 00:04:48
54,3.125,2023-10-19 00:04:53
55,3.187,2023-10-19 00:04:59
56,3.187,2023-10-19 00:05:04
57,3.187,2023-10-19 00:05:09
58,3.187,2023-10-19 00:05:15
59,3.187,2023-10-19 00:05:20
60,3.187,2023-10-19 00:05:25
61,3.187,2023-10-19 00:05:31
62,3.187,2023-10-19 00:05:36
63,3.187,2023-10-19 00:05:41
64,3.187,2023-10-19 00:05:47
65,3.25,2023-10-19 00:05:52
66,3.187,2023-10-19 00:05:57
67,3.25,2023-10-19 00:06:03
68,3.25,2023-10-19 00:06:08
69,3.25,2023-10-19 00:06:14
70,3.25,2023-10-19 00:06:19
71,3.25,2023-10-19 00:06:24
72,3.25,2023-10-19 00:06:30
73,3.25,2023-10-19 00:06:35
74,3.25,2023-10-19 00:06:40
75,3.187,2023-10-19 00:06:46
76,3.187,2023-10-19 00:06:51
77,3.25,2023-10-19 00:06:56
78,3.25,2023-10-19 00:07:02
79,3.25,2023-10-19 00:07:07
80,3.25,2023-10-19 00:07:13
81,3.25,2023-10-19 00:07:18
82,3.187,2023-10-19 00:07:24
83,3.25,2023-10-19 00:07:29
84,3.25,2023-10-19 00:07:34
85,3.187,2023-10-19 00:07:40
86,3.187,2023-10-19 00:07:45
87,3.187,2023-10-19 00:07:50
88,3.187,2023-10-19 00:07:56
89,3.187,2023-10-19 00:08:01
90,3.187,2023-10-19 00:08:06
91,3.187,2023-10-19 00:08:12
92,3.187,2023-10-19 00:08:17
93,3.187,2023-10-19 00:08:22
94,3.187,2023-10-19 00:08:28
95,3.187,2023-10-19 00:08:33
96,3.187,2023-10-19 00:08:38
97,3.25,2023-10-19 00:08:44
98,3.25,2023-10-19 00:08:49
99,3.25,2023-10-19 00:08:54
100,3.187,2023-10-19 00:09:00
101,3.187,2023-10-19 00:09:05
102,3.25,2023-10-19 00:09:10
103,3.187,2023-10-19 00:09:16
104,3.187,2023-10-19 00:09:21
105,3.125,2023-10-19 00:09:26
106,3.125,2023-10-19 00:09:32
107,3.125,2023-10-19 00:09:37
108,3.125,2023-10-19 00:09:43
109,3.125,2023-10-19 00:09:48
110,3.125,2023-10-19 00:09:53
111,3.187,2023-10-19 00:09:59
112,3.187,2023-10-19 00:10:04
113,3.187,2023-10-19 00:10:10
114,3.187,2023-10-19 00:10:15
115,3.187,2023-10-19 00:10:20
116,3.25,2023-10-19 00:10:26
117,3.25,2023-10-19 00:10:31
118,3.25,2023-10-19 00:10:36
119,3.25,2023-10-19 00:10:42
120,3.25,2023-10-19 00:10:47
121,3.25,2023-10-19 00:10:52
122,3.25,2023-10-19 00:10:58
123,3.25,2023-10-19 00:11:03
124,3.25,2023-10-19 00:11:09
125,3.25,2023-10-19 00:11:14
126,3.25,2023-10-19 00:11:19
127,3.312,2023-10-19 00:11:25
128,3.312,2023-10-19 00:11:30
129,3.312,2023-10-19 00:11:35
130,3.312,2023-10-19 00:11:41
131,3.312,2023-10-19 00:11:46
132,3.25,2023-10-19 00:11:51
133,3.187,2023-10-19 00:11:57
134,3.125,2023-10-19 00:12:02
135,3.125,2023-10-19 00:12:07
136,3.125,2023-10-19 00:12:13
137,3.187,2023-10-19 00:12:18
138,3.25,2023-10-19 00:12:23
139,3.25,2023-10-19 00:12:28
140,3.25,2023-10-19 00:12:34
141,3.187,2023-10-19 00:12:39
142,3.187,2023-10-19 00:12:45
143,3.125,2023-10-19 00:12:50
144,3.187,2023-10-19 00:12:55
145,3.187,2023-10-19 00:13:01
146,3.187,2023-10-19 00:13:06
147,3.187,2023-10-19 00:13:11
148,3.187,2023-10-19 00:13:17
149,3.25,2023-10-19 00:13:22
150,3.25,2023-10-19 00:13:27
151,3.25,2023-10-19 00:13:33
152,3.25,2023-10-19 00:13:38
153,3.312,2023-10-19 00:13:43
154,3.312,2023-10-19 00:13:49
155,3.312,2023-10-19 00:13:54
156,3.312,2023-10-19 00:14:00
157,3.312,2023-10-19 00:14:05
158,3.312,2023-10-19 00:14:10
159,3.312,2023-10-19 00:14:16
160,3.312,2023-10-19 00:14:21
161,3.312,2023-10-19 00:14:26
162,3.312,2023-10-19 00:14:32
163,3.375,2023-10-19 00:14:37
164,3.375,2023-10-19 00:14:42
165,3.375,2023-10-19 00:14:48
166,3.375,2023-10-19 00:14:53
167,3.375,2023-10-19 00:14:59
168,3.375,2023-10-19 00:15:04
169,3.375,2023-10-19 00:15:09
170,3.375,2023-10-19 00:15:14
171,3.375,2023-10-19 00:15:20
172,3.375,2023-10-19 00:15:25
173,3.375,2023-10-19 00:15:30
174,3.375,2023-10-19 00:15:36
175,3.375,2023-10-19 00:15:41
176,3.312,2023-10-19 00:15:46
177,3.25,2023-10-19 00:15:52
178,3.187,2023-10-19 00:15:57
179,3.125,2023-10-19 00:16:03
180,3.125,2023-10-19 00:16:08
181,3.062,2023-10-19 00:16:13
182,3.062,2023-10-19 00:16:19
183,3.062,2023-10-19 00:16:24
184,3.062,2023-10-19 00:16:29
185,3.0,2023-10-19 00:16:35
186,3.062,2023-10-19 00:16:40
187,3.062,2023-10-19 00:16:45
188,3.062,2023-10-19 00:16:51
189,3.125,2023-10-19 00:16:56
190,3.125,2023-10-19 00:17:02
191,3.125,2023-10-19 00:17:07
192,3.187,2023-10-19 00:17:12
193,3.187,2023-10-19 00:17:18
194,3.25,2023-10-19 00:17:23
195,3.25,2023-10-19 00:17:28
196,3.312,2023-10-19 00:17:34
197,3.312,2023-10-19 00:17:39
198,3.312,2023-10-19 00:17:45
199,3.375,2023-10-19 00:17:53
200,3.375,2023-10-19 00:17:55
201,3.375,2023-10-19 00:18:01
202,3.375,2023-10-19 00:18:06
203,3.437,2023-10-19 00:18:11
204,3.437,2023-10-19 00:18:17
205,3.437,2023-10-19 00:18:22
206,3.437,2023-10-19 00:18:27
207,3.437,2023-10-19 00:18:33
208,3.437,2023-10-19 00:18:38
209,3.312,2023-10-19 00:18:43
210,3.25,2023-10-19 00:18:49
211,3.25,2023-10-19 00:18:54
212,3.187,2023-10-19 00:18:59
213,3.187,2023-10-19 00:19:05
214,3.187,2023-10-19 00:19:10
215,3.25,2023-10-19 00:19:15
216,3.25,2023-10-19 00:19:21
217,3.25,2023-10-19 00:19:26
218,3.312,2023-10-19 00:19:31
219,3.312,2023-10-19 00:19:37
220,3.312,2023-10-19 00:19:42
221,3.375,2023-10-19 00:19:47
222,3.375,2023-10-19 00:19:53
223,3.375,2023-10-19 00:19:58
224,3.375,2023-10-19 00:20:03
225,3.375,2023-10-19 00:20:09
226,3.437,2023-10-19 00:20:14
227,3.437,2023-10-19 00:20:19
228,3.437,2023-10-19 00:20:24
229,3.437,2023-10-19 00:20:30
230,3.437,2023-10-19 00:20:35
231,3.437,2023-10-19 00:20:41
232,3.437,2023-10-19 00:20:46
233,3.437,2023-10-19 00:20:51
234,3.437,2023-10-19 00:20:57
235,3.5,2023-10-19 00:21:02
236,3.437,2023-10-19 00:21:08
237,3.5,2023-10-19 00:21:13
238,3.5,2023-10-19 00:21:18
239,3.5,2023-10-19 00:21:24
240,3.5,2023-10-19 00:21:29
241,3.5,2023-10-19 00:21:34
242,3.5,2023-10-19 00:21:40
243,3.5,2023-10-19 00:21:45
244,3.437,2023-10-19 00:21:51
245,3.375,2023-10-19 00:21:56
246,3.312,2023-10-19 00:22:01
247,3.25,2023-10-19 00:22:06
248,3.187,2023-10-19 00:22:12
249,3.125,2023-10-19 00:22:17
250,3.125,2023-10-19 00:22:22
251,3.187,2023-10-19 00:22:28
252,3.187,2023-10-19 00:22:33
253,3.187,2023-10-19 00:22:39
254,3.25,2023-10-19 00:22:44
255,3.25,2023-10-19 00:22:50
256,3.312,2023-10-19 00:22:55
257,3.312,2023-10-19 00:23:00
258,3.25,2023-10-19 00:23:06
259,3.187,2023-10-19 00:23:11
260,3.125,2023-10-19 00:23:16
261,3.125,2023-10-19 00:23:22
262,3.125,2023-10-19 00:23:27
263,3.125,2023-10-19 00:23:32
264,3.25,2023-10-19 00:23:38
265,3.25,2023-10-19 00:23:43
266,3.312,2023-10-19 00:23:48
267,3.312,2023-10-19 00:23:54
268,3.25,2023-10-19 00:23:59
269,3.312,2023-10-19 00:24:05
270,3.375,2023-10-19 00:24:10
271,3.375,2023-10-19 00:24:15
272,3.375,2023-10-19 00:24:21
273,3.437,2023-10-19 00:24:26
274,3.437,2023-10-19 00:24:32
275,3.5,2023-10-19 00:24:37
276,3.5,2023-10-19 00:24:42
277,3.5,2023-10-19 00:24:48
278,3.562,2023-10-19 00:24:53
279,3.562,2023-10-19 00:24:58
280,3.562,2023-10-19 00:25:03
281,3.562,2023-10-19 00:25:09
282,3.562,2023-10-19 00:25:14
283,3.562,2023-10-19 00:25:19
284,3.562,2023-10-19 00:25:25
285,3.562,2023-10-19 00:25:30
286,3.562,2023-10-19 00:25:35
287,3.562,2023-10-19 00:25:41
288,3.5,2023-10-19 00:25:46
289,3.5,2023-10-19 00:25:51
290,3.562,2023-10-19 00:25:57
291,3.562,2023-10-19 00:26:02
292,3.562,2023-10-19 00:26:08
293,3.562,2023-10-19 00:26:13
294,3.562,2023-10-19 00:26:19
295,3.562,2023-10-19 00:26:24
296,3.562,2023-10-19 00:26:29
297,3.562,2023-10-19 00:26:34
298,3.562,2023-10-19 00:26:40
299,3.562,2023-10-19 00:26:45
300,3.625,2023-10-19 00:26:51
301,3.562,2023-10-19 00:26:56
302,3.562,2023-10-19 00:27:01
303,3.562,2023-10-19 00:27:07
304,3.562,2023-10-19 00:27:12
305,3.562,2023-10-19 00:27:17
306,3.625,2023-10-19 00:27:23
307,3.625,2023-10-19 00:27:28
308,3.625,2023-10-19 00:27:33
309,3.625,2023-10-19 00:27:39
310,3.625,2023-10-19 00:27:44
311,3.625,2023-10-19 00:27:49
312,3.625,2023-10-19 00:27:55
313,3.625,2023-10-19 00:28:00
314,3.625,2023-10-19 00:28:05
315,3.625,2023-10-19 00:28:11
316,3.625,2023-10-19 00:28:16
317,3.625,2023-10-19 00:28:21
318,3.625,2023-10-19 00:28:27
319,3.687,2023-10-19 00:28:32
320,3.687,2023-10-19 00:28:38
321,3.687,2023-10-19 00:28:43
322,3.687,2023-10-19 00:28:48
323,3.687,2023-10-19 00:28:54
324,3.687,2023-10-19 00:28:59
325,3.687,2023-10-19 00:29:04
326,3.625,2023-10-19 00:29:10
327,3.625,2023-10-19 00:29:15
328,3.687,2023-10-19 00:29:20
329,3.687,2023-10-19 00:29:26
330,3.687,2023-10-19 00:29:31
331,3.687,2023-10-19 00:29:36
332,3.687,2023-10-19 00:29:42
333,3.687,2023-10-19 00:29:47
334,3.687,2023-10-19 00:29:53
335,3.687,2023-10-19 00:29:58
336,3.687,2023-10-19 00:30:03
337,3.687,2023-10-19 00:30:09
338,3.687,2023-10-19 00:30:14
339,3.625,2023-10-19 00:30:19
340,3.625,2023-10-19 00:30:25
341,3.625,2023-10-19 00:30:30
342,3.687,2023-10-19 00:30:36
343,3.687,2023-10-19 00:30:41
344,3.687,2023-10-19 00:30:46
345,3.687,2023-10-19 00:30:51
346,3.687,2023-10-19 00:30:57
347,3.687,2023-10-19 00:31:02
348,3.687,2023-10-19 00:31:07
349,3.687,2023-10-19 00:31:13
350,3.687,2023-10-19 00:31:18
351,3.687,2023-10-19 00:31:23
352,3.687,2023-10-19 00:31:29
353,3.687,2023-10-19 00:31:34
354,3.687,2023-10-19 00:31:40
355,3.687,2023-10-19 00:31:45
356,3.687,2023-10-19 00:31:50
357,3.687,2023-10-19 00:31:56
358,3.687,2023-10-19 00:32:01
359,3.687,2023-10-19 00:32:06
360,3.75,2023-10-19 00:32:12
361,3.75,2023-10-19 00:32:17
362,3.75,2023-10-19 00:32:23
363,3.75,2023-10-19 00:32:28
364,3.75,2023-10-19 00:32:33
365,3.75,2023-10-19 00:32:38
366,3.75,2023-10-19 00:32:44
367,3.75,2023-10-19 00:32:49
368,3.75,2023-10-19 00:32:55
369,3.75,2023-10-19 00:33:00
370,3.687,2023-10-19 00:33:05
371,3.625,2023-10-19 00:33:11
372,3.5,2023-10-19 00:33:16
373,3.437,2023-10-19 00:33:21
374,3.5,2023-10-19 00:33:27
375,3.562,2023-10-19 00:33:32
376,3.562,2023-10-19 00:33:37
377,3.625,2023-10-19 00:33:43
378,3.625,2023-10-19 00:33:48
379,3.687,2023-10-19 00:33:54
380,3.75,2023-10-19 00:33:59
381,3.75,2023-10-19 00:34:04
382,3.75,2023-10-19 00:34:10
383,3.812,2023-10-19 00:34:15
384,3.812,2023-10-19 00:34:20
385,3.812,2023-10-19 00:34:26
386,3.812,2023-10-19 00:34:31
387,3.687,2023-10-19 00:34:36
388,3.562,2023-10-19 00:34:42
389,3.5,2023-10-19 00:34:47
390,3.437,2023-10-19 00:34:53
391,3.5,2023-10-19 00:34:58
392,3.562,2023-10-19 00:35:04
393,3.562,2023-10-19 00:35:09
