rh,datetime
97.5,2023-11-09 09:35:46
97.5,2023-11-09 09:35:48
97.4,2023-11-09 09:35:54
97.5,2023-11-09 09:35:56
97.5,2023-11-09 09:35:58
97.4,2023-11-09 09:36:00
97.3,2023-11-09 09:36:02
97.6,2023-11-09 09:36:04
97.6,2023-11-09 09:36:06
97.5,2023-11-09 09:36:08
97.6,2023-11-09 09:36:10
97.5,2023-11-09 09:36:12
97.5,2023-11-09 09:36:14
97.6,2023-11-09 09:36:16
97.5,2023-11-09 09:36:18
97.5,2023-11-09 09:36:24
97.5,2023-11-09 09:36:26
97.6,2023-11-09 09:36:28
97.5,2023-11-09 09:36:30
97.6,2023-11-09 09:36:32
97.5,2023-11-09 09:36:34
97.6,2023-11-09 09:36:36
97.5,2023-11-09 09:36:38
97.5,2023-11-09 09:36:40
97.5,2023-11-09 09:36:42
97.4,2023-11-09 09:36:44
97.5,2023-11-09 09:36:46
97.4,2023-11-09 09:36:48
97.5,2023-11-09 09:36:54
97.4,2023-11-09 09:36:56
97.5,2023-11-09 09:36:58
97.4,2023-11-09 09:37:00
97.2,2023-11-09 09:37:02
97.3,2023-11-09 09:37:04
97.3,2023-11-09 09:37:06
97.3,2023-11-09 09:37:08
97.3,2023-11-09 09:37:10
97.3,2023-11-09 09:37:12
97.5,2023-11-09 09:37:14
97.3,2023-11-09 09:37:16
97.3,2023-11-09 09:37:18
97.3,2023-11-09 09:37:24
97.5,2023-11-09 09:37:26
97.4,2023-11-09 09:37:28
97.4,2023-11-09 09:37:30
97.3,2023-11-09 09:37:32
97.4,2023-11-09 09:37:34
97.4,2023-11-09 09:37:36
97.3,2023-11-09 09:37:38
97.4,2023-11-09 09:37:40
97.3,2023-11-09 09:37:42
97.3,2023-11-09 09:37:44
97.3,2023-11-09 09:37:46
97.2,2023-11-09 09:37:48
97.4,2023-11-09 09:37:54
97.3,2023-11-09 09:37:56
97.2,2023-11-09 09:37:58
97.3,2023-11-09 09:38:00
97.3,2023-11-09 09:38:02
97.3,2023-11-09 09:38:04
