,datetime,temp1,temp2,temp3,temp4,temp5,temp6,rh_1,rh_2,moist
0,11/09/2023 09:35,17.562,,,,,,,,
1,11/09/2023 09:35,17.562,,,,,,,,
2,11/09/2023 09:35,17.562,,,,,,,,
3,11/09/2023 09:35,,20.187,,,,,,,
4,11/09/2023 09:35,,,19,,,,,,
5,11/09/2023 09:35,17.562,,,,,,,,
6,11/09/2023 09:35,,20.187,,,,,,,
7,11/09/2023 09:35,,,19.062,,,,,,
8,11/09/2023 09:35,,,,18.375,,,,,
9,11/09/2023 09:35,,,,,18.5,,,,
10,11/09/2023 09:35,,,,,,24.812,,,
11,11/09/2023 09:35,17.625,,,,,,,,
12,11/09/2023 09:35,,20.187,19.062,,,,,,
13,11/09/2023 09:35,,,,18.375,,,,,
14,11/09/2023 09:35,,,,,18.5,,,,
15,11/09/2023 09:35,,,,,,24.875,,,
16,11/09/2023 09:35,17.625,,,,,,,,
17,11/09/2023 09:35,,20.187,,,,,,,
18,11/09/2023 09:35,,,19.062,,,,,,
19,11/09/2023 09:35,,,,18.375,,,,,
20,11/09/2023 09:35,,,,,18.562,,80.9,,
21,11/09/2023 09:35,,,,,,24.812,80.7,,
22,11/09/2023 09:35,17.625,20.187,,,,,,97.5,
23,11/09/2023 09:35,,,19.062,,,,,,
24,11/09/2023 09:35,,,,18.375,,,80.9,97.5,
25,11/09/2023 09:35,,,,,18.562,,,,
26,11/09/2023 09:35,,,,,,24.812,,,
27,11/09/2023 09:35,17.625,,,,,,,,
28,11/09/2023 09:35,,20.187,,,,,,,
29,11/09/2023 09:35,,,19.062,18.375,,,,,
30,11/09/2023 09:35,,,,,18.562,,80.8,97.4,
31,11/09/2023 09:35,,,,,,24.812,,,
32,11/09/2023 09:35,17.625,,,,,,80.7,97.5,
33,11/09/2023 09:35,,20.187,,,,,,,
34,11/09/2023 09:35,,,19.062,,,,80.8,97.5,
35,11/09/2023 09:35,,,,18.375,,,,,
36,11/09/2023 09:36,,,,,18.562,24.812,80.8,97.4,
37,11/09/2023 09:36,17.625,,,,,,,,
38,11/09/2023 09:36,,20.25,,,,,80.8,97.3,
39,11/09/2023 09:36,,,19.062,,,,,,
40,11/09/2023 09:36,,,,18.375,,,80.9,97.6,
41,11/09/2023 09:36,,,,,18.562,,,,
42,11/09/2023 09:36,,,,,,24.812,80.8,97.6,
43,11/09/2023 09:36,17.625,,,,,,,,
44,11/09/2023 09:36,,20.25,19.062,,,,80.8,97.5,
45,11/09/2023 09:36,,,,18.375,,,,,
46,11/09/2023 09:36,,,,,18.562,,80.8,97.6,
47,11/09/2023 09:36,,,,,,24.812,,,
48,11/09/2023 09:36,17.625,,,,,,80.8,97.5,
49,11/09/2023 09:36,,20.25,,,,,,,
50,11/09/2023 09:36,,,19.062,,,,80.8,97.5,
51,11/09/2023 09:36,,,,18.375,,,,,
52,11/09/2023 09:36,,,,,18.562,24.812,80.7,97.6,
53,11/09/2023 09:36,17.625,,,,,,,,
54,11/09/2023 09:36,,20.25,,,,,80.8,97.5,
55,11/09/2023 09:36,,,19.125,,,,,,
56,11/09/2023 09:36,,,,18.375,,,,,
57,11/09/2023 09:36,,,,,18.562,,,,
58,11/09/2023 09:36,,,,,,24.875,,,
59,11/09/2023 09:36,17.625,,,,,,,,
60,11/09/2023 09:36,,20.25,19.125,,,,80.8,97.5,
61,11/09/2023 09:36,,,,18.375,,,,,
62,11/09/2023 09:36,,,,,18.562,,80.8,97.5,
63,11/09/2023 09:36,,,,,,24.812,,,
64,11/09/2023 09:36,17.625,,,,,,80.8,97.6,
65,11/09/2023 09:36,,20.25,,,,,,,
66,11/09/2023 09:36,,,19.125,,,,80.8,97.5,
67,11/09/2023 09:36,,,,18.375,,,,,
68,11/09/2023 09:36,,,,,18.562,24.812,80.9,97.6,
69,11/09/2023 09:36,17.625,,,,,,,,
70,11/09/2023 09:36,,20.25,,,,,80.8,97.5,
71,11/09/2023 09:36,,,19.125,,,,,,
72,11/09/2023 09:36,,,,18.375,,,80.9,97.6,
73,11/09/2023 09:36,,,,,18.562,,,,
74,11/09/2023 09:36,,,,,,24.812,80.9,97.5,
75,11/09/2023 09:36,17.625,,,,,,,,
76,11/09/2023 09:36,,20.25,19.125,,,,80.8,97.5,
77,11/09/2023 09:36,,,,18.375,,,,,
78,11/09/2023 09:36,,,,,18.562,,80.9,97.5,
79,11/09/2023 09:36,,,,,,24.875,,,
80,11/09/2023 09:36,17.625,,,,,,80.9,97.4,
81,11/09/2023 09:36,,20.25,,,,,,,
82,11/09/2023 09:36,,,19.125,,,,81,97.5,
83,11/09/2023 09:36,,,,18.375,,,,,
84,11/09/2023 09:36,,,,,18.625,,81,97.4,
85,11/09/2023 09:36,,,,,,24.875,,,
86,11/09/2023 09:36,17.687,,,,,,,,
87,11/09/2023 09:36,,20.312,19.125,,,,,,
88,11/09/2023 09:36,,,,18.437,,,,,
89,11/09/2023 09:36,,,,,18.625,,,,
90,11/09/2023 09:36,,,,,,24.875,81,97.5,
91,11/09/2023 09:36,17.687,,,,,,,,
92,11/09/2023 09:36,,20.312,,,,,81,97.4,
93,11/09/2023 09:36,,,19.125,,,,,,
94,11/09/2023 09:36,,,,18.437,,,81,97.5,
95,11/09/2023 09:36,,,,,18.625,,,,
96,11/09/2023 09:37,,,,,,24.812,80.9,97.4,
97,11/09/2023 09:37,17.687,20.312,,,,,,,
98,11/09/2023 09:37,,,19.125,,,,81.1,97.2,
99,11/09/2023 09:37,,,,18.437,,,,,
100,11/09/2023 09:37,,,,,18.625,,81,97.3,
101,11/09/2023 09:37,,,,,,24.812,,,
102,11/09/2023 09:37,17.625,,,,,,81,97.3,
103,11/09/2023 09:37,,20.312,,,,,,,
104,11/09/2023 09:37,,,19.187,,,,80.9,97.3,
105,11/09/2023 09:37,,,,18.437,,,,,
106,11/09/2023 09:37,,,,,18.625,24.812,80.9,97.3,
107,11/09/2023 09:37,17.687,,,,,,,,
108,11/09/2023 09:37,,20.375,,,,,80.9,97.3,
109,11/09/2023 09:37,,,19.187,,,,,,
110,11/09/2023 09:37,,,,18.375,,,80.9,97.5,
111,11/09/2023 09:37,,,,,18.625,,,,
112,11/09/2023 09:37,,,,,,24.812,80.9,97.3,
113,11/09/2023 09:37,17.687,,,,,,,,
114,11/09/2023 09:37,,20.312,,,,,80.8,97.3,
115,11/09/2023 09:37,,,19.187,18.437,,,,,
116,11/09/2023 09:37,,,,,18.625,,,,
117,11/09/2023 09:37,,,,,,24.812,,,
118,11/09/2023 09:37,17.687,,,,,,,,
119,11/09/2023 09:37,,20.312,,,,,,,
120,11/09/2023 09:37,,,19.187,,,,80.9,97.3,
121,11/09/2023 09:37,,,,18.437,,,,,
122,11/09/2023 09:37,,,,,18.625,,80.9,97.5,
123,11/09/2023 09:37,17.687,,,,,24.812,,,
124,11/09/2023 09:37,,20.312,,,,,81,97.4,
125,11/09/2023 09:37,,,19.187,,,,,,
126,11/09/2023 09:37,,,,18.437,,,80.9,97.4,
127,11/09/2023 09:37,,,,,18.625,,,,
128,11/09/2023 09:37,,,,,,24.812,80.9,97.3,
129,11/09/2023 09:37,17.687,,,,,,,,
130,11/09/2023 09:37,,20.312,,,,,80.9,97.4,
131,11/09/2023 09:37,,,19.187,18.437,,,,,
132,11/09/2023 09:37,,,,,18.625,,80.9,97.4,
133,11/09/2023 09:37,,,,,,24.812,,,
134,11/09/2023 09:37,17.687,,,,,,80.9,97.3,
135,11/09/2023 09:37,,20.312,,,,,,,
136,11/09/2023 09:37,,,19.187,,,,80.9,97.4,
137,11/09/2023 09:37,,,,18.437,,,,,
138,11/09/2023 09:37,,,,,18.625,,80.9,97.3,
139,11/09/2023 09:37,,,,,,24.812,,,
140,11/09/2023 09:37,17.687,20.312,,,,,80.9,97.3,
141,11/09/2023 09:37,,,19.187,,,,,,
142,11/09/2023 09:37,,,,18.437,,,81,97.3,
143,11/09/2023 09:37,,,,,18.625,,,,
144,11/09/2023 09:37,,,,,,24.812,80.9,97.2,
145,11/09/2023 09:37,17.687,,,,,,,,
146,11/09/2023 09:37,,20.312,,,,,,,
147,11/09/2023 09:37,,,19.187,,,,,,
148,11/09/2023 09:37,,,,18.437,,,,,
149,11/09/2023 09:37,,,,,18.625,,,,
150,11/09/2023 09:37,17.687,,,,,24.812,80.9,97.4,
151,11/09/2023 09:37,,20.312,,,,,,,
152,11/09/2023 09:37,,,19.187,,,,81,97.3,
153,11/09/2023 09:37,,,,18.437,,,,,
154,11/09/2023 09:37,,,,,18.625,,80.9,97.2,
155,11/09/2023 09:37,,,,,,24.812,,,
156,11/09/2023 09:38,17.687,,,,,,80.9,97.3,
157,11/09/2023 09:38,,20.312,,,,,,,
158,11/09/2023 09:38,,,19.187,,,,80.9,97.3,
159,11/09/2023 09:38,,,,18.437,,,,,
160,11/09/2023 09:38,,,,,18.625,24.812,80.9,97.3,
161,11/09/2023 09:38,17.687,,,,,,,,
162,11/09/2023 09:38,,20.312,,,,,80.9,97.2,
163,11/09/2023 09:38,,,19.187,,,,,,
164,11/09/2023 09:38,,,,18.437,,,81,97.4,
165,11/09/2023 09:38,,,,,18.687,,,,
166,11/09/2023 09:38,,,,,,24.812,80.9,97.3,
167,11/09/2023 09:38,17.687,,,,,,,,
168,11/09/2023 09:38,,20.312,,,,,81,97.4,
169,11/09/2023 09:38,,,19.187,18.437,,,,,
170,11/09/2023 09:38,,,,,18.687,,81,97.2,
171,11/09/2023 09:38,,,,,,24.812,,,
172,11/09/2023 09:38,17.687,,,,,,80.9,97.2,
173,11/09/2023 09:38,,20.25,,,,,,,
174,11/09/2023 09:38,,,19.187,,,,,97.3,
175,11/09/2023 09:38,,,,18.437,,,80.9,,
176,11/09/2023 09:38,,,,,18.625,24.812,,,
177,11/09/2023 09:38,17.687,,,,,,,,
178,11/09/2023 09:38,,20.25,,,,,,,
179,11/09/2023 09:38,,,19.187,,,,,,
180,11/09/2023 09:38,,,,18.437,,,,97.4,
181,11/09/2023 09:38,,,,,18.687,,81,,
182,11/09/2023 09:38,,,,,,24.812,81,97.3,
183,11/09/2023 09:38,17.687,,,,,,,,
184,11/09/2023 09:38,,20.25,,,,,,97.4,
185,11/09/2023 09:38,,,19.187,,,,80.9,,
186,11/09/2023 09:38,,,,18.437,,,81.1,97.4,
187,11/09/2023 09:38,,,,,18.687,,,,
188,11/09/2023 09:38,,,,,,24.812,,97.4,
189,11/09/2023 09:38,17.687,,,,,,81,,
190,11/09/2023 09:38,,20.312,19.187,,,,81.2,97.3,
191,11/09/2023 09:38,,,,18.437,,,,,
192,11/09/2023 09:38,,,,,18.687,,,97.4,
193,11/09/2023 09:38,,,,,,24.812,81,,
194,11/09/2023 09:38,17.687,,,,,,81,97.4,
195,11/09/2023 09:38,,20.25,,,,,,,
196,11/09/2023 09:38,,,19.187,,,,,97.5,
197,11/09/2023 09:38,,,,18.437,,,81.1,,
198,11/09/2023 09:38,,,,,18.687,,81,97.4,
199,11/09/2023 09:38,17.687,,,,,24.812,,,
200,11/09/2023 09:38,,20.25,,,,,,97.6,
201,11/09/2023 09:38,,,19.187,,,,81.1,,
202,11/09/2023 09:38,,,,18.437,,,81,97.5,
203,11/09/2023 09:38,,,,,18.687,,,,
204,11/09/2023 09:38,,,,,,24.812,,97.4,
205,11/09/2023 09:38,17.687,,,,,,81.1,,
206,11/09/2023 09:38,,20.25,,,,,,,
207,11/09/2023 09:38,,,19.187,18.437,,,,,
208,11/09/2023 09:38,,,,,18.687,,,,
209,11/09/2023 09:38,,,,,,24.812,,,
210,11/09/2023 09:38,17.75,,,,,,,,
211,11/09/2023 09:38,,20.25,,,,,81.1,97.5,
212,11/09/2023 09:38,,,19.187,,,,81,,
213,11/09/2023 09:38,,,,18.437,,,,97.4,
214,11/09/2023 09:38,,,,,18.687,,,97.5,
215,11/09/2023 09:38,,,,,,24.812,81.1,,
216,11/09/2023 09:39,17.687,,,,,,81.1,,
217,11/09/2023 09:39,,20.25,19.187,,,,,97.4,
218,11/09/2023 09:39,,,,18.437,,,,97.6,
219,11/09/2023 09:39,,,,,18.687,,81,,
220,11/09/2023 09:39,,,,,,24.812,81.1,,
