,temp,datetime
0,24.812,2023-09-11 09:35:34
1,24.875,2023-09-11 09:35:39
2,24.812,2023-09-11 09:35:45
3,24.812,2023-09-11 09:35:50
4,24.812,2023-09-11 09:35:55
5,24.812,2023-09-11 09:36:00
6,24.812,2023-09-11 09:36:06
7,24.812,2023-09-11 09:36:11
8,24.812,2023-09-11 09:36:16
9,24.875,2023-09-11 09:36:22
10,24.812,2023-09-11 09:36:27
11,24.812,2023-09-11 09:36:32
12,24.812,2023-09-11 09:36:38
13,24.875,2023-09-11 09:36:43
14,24.875,2023-09-11 09:36:49
15,24.875,2023-09-11 09:36:54
16,24.812,2023-09-11 09:37:00
17,24.812,2023-09-11 09:37:05
18,24.812,2023-09-11 09:37:10
19,24.812,2023-09-11 09:37:16
20,24.812,2023-09-11 09:37:21
21,24.812,2023-09-11 09:37:27
22,24.812,2023-09-11 09:37:32
23,24.812,2023-09-11 09:37:37
24,24.812,2023-09-11 09:37:43
25,24.812,2023-09-11 09:37:48
26,24.812,2023-09-11 09:37:54
27,24.812,2023-09-11 09:37:59
28,24.812,2023-09-11 09:38:04
29,24.812,2023-09-11 09:38:10
30,24.812,2023-09-11 09:38:15
31,24.812,2023-09-11 09:38:20
32,24.812,2023-09-11 09:38:26
33,24.812,2023-09-11 09:38:32
34,24.812,2023-09-11 09:38:37
35,24.812,2023-09-11 09:38:43
36,24.812,2023-09-11 09:38:48
37,24.812,2023-09-11 09:38:53
38,24.812,2023-09-11 09:38:59
39,24.812,2023-09-11 09:39:04
40,24.812,2023-09-11 09:39:09
41,24.812,2023-09-11 09:39:15
42,24.812,2023-09-11 09:39:20
43,24.812,2023-09-11 09:39:26
44,24.812,2023-09-11 09:39:31
45,24.75,2023-09-11 09:39:37
46,24.812,2023-09-11 09:39:42
47,24.812,2023-09-11 09:39:48
48,24.812,2023-09-11 09:39:53
49,24.812,2023-09-11 09:39:58
50,24.812,2023-09-11 09:40:04
51,24.812,2023-09-11 09:40:09
