,rh,datetime
22364,80.9,2023-09-12 00:00:01
22365,81.0,2023-09-12 00:00:03
22366,80.9,2023-09-12 00:00:04
22367,80.9,2023-09-12 00:00:07
22368,80.9,2023-09-12 00:00:09
22369,80.9,2023-09-12 00:00:11
22370,80.9,2023-09-12 00:00:13
22371,80.9,2023-09-12 00:00:15
22372,80.9,2023-09-12 00:00:17
22373,80.9,2023-09-12 00:00:19
22374,80.9,2023-09-12 00:00:21
22375,80.9,2023-09-12 00:00:23
22376,80.9,2023-09-12 00:00:29
22377,81.0,2023-09-12 00:00:31
22378,80.8,2023-09-12 00:00:33
22379,80.9,2023-09-12 00:00:35
22380,80.9,2023-09-12 00:00:37
22381,81.0,2023-09-12 00:00:39
22382,81.0,2023-09-12 00:00:41
22383,80.8,2023-09-12 00:00:43
22384,80.9,2023-09-12 00:00:45
22385,80.9,2023-09-12 00:00:47
22386,80.9,2023-09-12 00:00:49
22387,80.9,2023-09-12 00:00:51
22388,80.9,2023-09-12 00:00:53
22389,80.9,2023-09-12 00:00:59
22390,81.0,2023-09-12 00:01:01
22391,80.9,2023-09-12 00:01:03
22392,80.9,2023-09-12 00:01:05
22393,80.9,2023-09-12 00:01:07
22394,81.0,2023-09-12 00:01:09
22395,81.0,2023-09-12 00:01:11
22396,81.0,2023-09-12 00:01:13
22397,81.0,2023-09-12 00:01:15
22398,80.9,2023-09-12 00:01:17
22399,81.0,2023-09-12 00:01:19
22400,80.9,2023-09-12 00:01:21
22401,81.0,2023-09-12 00:01:23
22402,80.9,2023-09-12 00:01:29
22403,81.0,2023-09-12 00:01:31
22404,81.0,2023-09-12 00:01:33
22405,80.9,2023-09-12 00:01:35
22406,81.0,2023-09-12 00:01:37
22407,81.0,2023-09-12 00:01:39
22408,81.0,2023-09-12 00:01:41
22409,81.0,2023-09-12 00:01:43
22410,81.0,2023-09-12 00:01:45
22411,81.0,2023-09-12 00:01:47
22412,80.9,2023-09-12 00:01:49
22413,80.9,2023-09-12 00:01:51
22414,81.0,2023-09-12 00:01:54
22415,81.0,2023-09-12 00:02:00
22416,80.9,2023-09-12 00:02:01
22417,80.9,2023-09-12 00:02:03
22418,80.9,2023-09-12 00:02:05
22419,81.0,2023-09-12 00:02:08
22420,81.0,2023-09-12 00:02:09
22421,81.0,2023-09-12 00:02:12
22422,81.0,2023-09-12 00:02:13
22423,80.9,2023-09-12 00:02:16
22424,80.9,2023-09-12 00:02:17
22425,81.0,2023-09-12 00:02:20
22426,81.0,2023-09-12 00:02:21
22427,81.0,2023-09-12 00:02:24
22428,80.9,2023-09-12 00:02:30
22429,80.9,2023-09-12 00:02:31
22430,81.0,2023-09-12 00:02:34
22431,80.9,2023-09-12 00:02:35
22432,80.9,2023-09-12 00:02:38
22433,81.0,2023-09-12 00:02:39
22434,81.0,2023-09-12 00:02:42
22435,80.9,2023-09-12 00:02:43
22436,81.0,2023-09-12 00:02:46
22437,81.0,2023-09-12 00:02:47
22438,81.0,2023-09-12 00:02:50
22439,81.0,2023-09-12 00:02:51
22440,81.0,2023-09-12 00:02:54
22441,81.1,2023-09-12 00:03:00
22442,81.1,2023-09-12 00:03:01
22443,81.0,2023-09-12 00:03:04
22444,81.0,2023-09-12 00:03:05
22445,81.1,2023-09-12 00:03:08
22446,81.1,2023-09-12 00:03:09
22447,81.0,2023-09-12 00:03:12
22448,81.0,2023-09-12 00:03:13
22449,81.1,2023-09-12 00:03:16
22450,80.9,2023-09-12 00:03:17
22451,81.0,2023-09-12 00:03:20
22452,81.0,2023-09-12 00:03:21
22453,81.0,2023-09-12 00:03:24
22454,81.1,2023-09-12 00:03:30
22455,81.0,2023-09-12 00:03:31
22456,81.0,2023-09-12 00:03:34
22457,81.1,2023-09-12 00:03:35
22458,81.1,2023-09-12 00:03:38
22459,81.0,2023-09-12 00:03:39
22460,81.1,2023-09-12 00:03:42
22461,81.0,2023-09-12 00:03:43
22462,81.1,2023-09-12 00:03:46
22463,81.0,2023-09-12 00:03:47
22464,81.1,2023-09-12 00:03:50
22465,81.1,2023-09-12 00:03:51
22466,81.0,2023-09-12 00:03:54
22467,81.1,2023-09-12 00:04:00
22468,81.2,2023-09-12 00:04:02
22469,81.1,2023-09-12 00:04:04
22470,81.1,2023-09-12 00:04:06
22471,81.0,2023-09-12 00:04:08
22472,81.1,2023-09-12 00:04:10
22473,81.1,2023-09-12 00:04:12
22474,81.1,2023-09-12 00:04:14
22475,81.1,2023-09-12 00:04:16
22476,81.1,2023-09-12 00:04:18
22477,81.2,2023-09-12 00:04:20
22478,81.1,2023-09-12 00:04:22
22479,81.1,2023-09-12 00:04:24
22480,81.1,2023-09-12 00:04:30
22481,81.1,2023-09-12 00:04:32
22482,81.1,2023-09-12 00:04:34
22483,81.1,2023-09-12 00:04:36
22484,81.0,2023-09-12 00:04:38
22485,81.1,2023-09-12 00:04:40
22486,81.1,2023-09-12 00:04:42
22487,81.1,2023-09-12 00:04:44
22488,81.1,2023-09-12 00:04:46
22489,81.1,2023-09-12 00:04:48
22490,81.1,2023-09-12 00:04:50
22491,81.1,2023-09-12 00:04:52
22492,81.0,2023-09-12 00:04:54
22493,81.1,2023-09-12 00:05:00
22494,81.0,2023-09-12 00:05:02
22495,81.1,2023-09-12 00:05:04
22496,81.0,2023-09-12 00:05:06
22497,81.0,2023-09-12 00:05:08
22498,81.0,2023-09-12 00:05:10
22499,81.0,2023-09-12 00:05:12
22500,81.0,2023-09-12 00:05:14
22501,80.9,2023-09-12 00:05:16
22502,80.8,2023-09-12 00:05:18
