,rh,temps,datetime
22231,96.7,18.6,2023-09-12 00:00:01
22232,96.7,18.6,2023-09-12 00:00:03
22233,96.7,18.6,2023-09-12 00:00:05
22234,96.7,18.7,2023-09-12 00:00:07
22235,96.6,18.6,2023-09-12 00:00:09
22236,96.6,18.6,2023-09-12 00:00:11
22237,96.7,18.6,2023-09-12 00:00:13
22238,96.8,18.6,2023-09-12 00:00:15
22239,96.7,18.5,2023-09-12 00:00:17
22240,96.6,18.6,2023-09-12 00:00:19
22241,96.8,18.6,2023-09-12 00:00:21
22242,96.7,18.7,2023-09-12 00:00:23
22243,96.7,18.5,2023-09-12 00:00:29
22244,96.6,18.7,2023-09-12 00:00:31
22245,96.8,18.6,2023-09-12 00:00:33
22246,96.6,18.6,2023-09-12 00:00:35
22247,96.5,18.6,2023-09-12 00:00:37
22248,96.7,18.6,2023-09-12 00:00:39
22249,96.6,18.6,2023-09-12 00:00:41
22250,96.8,18.6,2023-09-12 00:00:43
22251,96.6,18.6,2023-09-12 00:00:45
22252,96.6,18.6,2023-09-12 00:00:47
22253,96.7,18.5,2023-09-12 00:00:49
22254,96.6,18.6,2023-09-12 00:00:51
22255,96.6,18.6,2023-09-12 00:00:53
22256,96.7,18.7,2023-09-12 00:00:59
22257,96.7,18.6,2023-09-12 00:01:01
22258,96.7,18.5,2023-09-12 00:01:03
22259,96.6,18.6,2023-09-12 00:01:05
22260,96.9,18.7,2023-09-12 00:01:07
22261,96.7,18.6,2023-09-12 00:01:09
22262,96.7,18.6,2023-09-12 00:01:11
22263,96.8,18.7,2023-09-12 00:01:13
22264,96.8,18.6,2023-09-12 00:01:15
22265,96.7,18.5,2023-09-12 00:01:17
22266,96.8,18.6,2023-09-12 00:01:19
22267,96.7,18.6,2023-09-12 00:01:21
22268,96.6,18.6,2023-09-12 00:01:23
22269,96.7,18.6,2023-09-12 00:01:29
22270,96.6,18.6,2023-09-12 00:01:31
22271,96.8,18.6,2023-09-12 00:01:33
22272,96.6,18.6,2023-09-12 00:01:35
22273,96.7,18.6,2023-09-12 00:01:37
22274,96.7,18.6,2023-09-12 00:01:39
22275,96.9,18.6,2023-09-12 00:01:41
22276,96.7,18.6,2023-09-12 00:01:43
22277,96.8,18.6,2023-09-12 00:01:45
22278,96.8,18.5,2023-09-12 00:01:47
22279,96.8,18.6,2023-09-12 00:01:49
22280,96.6,18.5,2023-09-12 00:01:51
22281,96.6,18.6,2023-09-12 00:01:53
22282,96.8,18.6,2023-09-12 00:01:59
22283,96.7,18.6,2023-09-12 00:02:01
22284,96.7,18.6,2023-09-12 00:02:03
22285,96.7,18.6,2023-09-12 00:02:05
22286,96.6,18.6,2023-09-12 00:02:07
22287,96.6,18.6,2023-09-12 00:02:09
22288,96.6,18.6,2023-09-12 00:02:11
22289,96.7,18.6,2023-09-12 00:02:13
22290,96.8,18.5,2023-09-12 00:02:15
22291,96.8,18.6,2023-09-12 00:02:17
22292,96.7,18.6,2023-09-12 00:02:19
22293,96.8,18.6,2023-09-12 00:02:21
22294,96.6,18.6,2023-09-12 00:02:23
22295,96.9,18.6,2023-09-12 00:02:29
22296,96.8,18.6,2023-09-12 00:02:31
22297,96.8,18.6,2023-09-12 00:02:33
22298,96.6,18.6,2023-09-12 00:02:35
22299,96.7,18.5,2023-09-12 00:02:37
22300,96.8,18.6,2023-09-12 00:02:39
22301,96.7,18.6,2023-09-12 00:02:41
22302,96.6,18.6,2023-09-12 00:02:43
22303,96.8,18.5,2023-09-12 00:02:46
22304,96.8,18.6,2023-09-12 00:02:48
22305,96.8,18.6,2023-09-12 00:02:50
22306,96.8,18.6,2023-09-12 00:02:51
22307,96.9,18.6,2023-09-12 00:02:54
22308,96.8,18.5,2023-09-12 00:03:00
22309,96.7,18.6,2023-09-12 00:03:02
22310,96.7,18.6,2023-09-12 00:03:04
22311,96.7,18.6,2023-09-12 00:03:06
22312,96.7,18.6,2023-09-12 00:03:08
22313,96.7,18.6,2023-09-12 00:03:10
22314,96.8,18.6,2023-09-12 00:03:12
22315,96.7,18.5,2023-09-12 00:03:14
22316,96.7,18.6,2023-09-12 00:03:16
22317,96.9,18.6,2023-09-12 00:03:18
22318,96.7,18.6,2023-09-12 00:03:20
22319,96.7,18.6,2023-09-12 00:03:22
22320,96.8,18.6,2023-09-12 00:03:24
22321,96.6,18.6,2023-09-12 00:03:30
22322,96.7,18.5,2023-09-12 00:03:32
22323,96.7,18.6,2023-09-12 00:03:34
22324,96.7,18.6,2023-09-12 00:03:36
22325,96.9,18.6,2023-09-12 00:03:38
22326,96.8,18.6,2023-09-12 00:03:40
22327,96.6,18.6,2023-09-12 00:03:42
22328,96.7,18.5,2023-09-12 00:03:44
22329,96.6,18.6,2023-09-12 00:03:46
22330,96.8,18.5,2023-09-12 00:03:48
22331,96.8,18.6,2023-09-12 00:03:50
22332,96.6,18.6,2023-09-12 00:03:52
22333,96.8,18.6,2023-09-12 00:03:54
22334,96.8,18.6,2023-09-12 00:04:00
22335,96.6,18.6,2023-09-12 00:04:02
22336,96.7,18.5,2023-09-12 00:04:04
22337,96.8,18.5,2023-09-12 00:04:06
22338,96.7,18.6,2023-09-12 00:04:08
22339,96.7,18.6,2023-09-12 00:04:10
22340,96.7,18.6,2023-09-12 00:04:12
22341,96.7,18.6,2023-09-12 00:04:14
22342,96.6,18.5,2023-09-12 00:04:16
22343,96.7,18.6,2023-09-12 00:04:18
22344,96.7,18.5,2023-09-12 00:04:20
22345,96.8,18.5,2023-09-12 00:04:22
22346,96.6,18.6,2023-09-12 00:04:24
22347,96.7,18.6,2023-09-12 00:04:30
22348,96.7,18.6,2023-09-12 00:04:32
22349,96.8,18.6,2023-09-12 00:04:34
22350,96.6,18.5,2023-09-12 00:04:36
22351,96.8,18.5,2023-09-12 00:04:38
22352,96.6,18.6,2023-09-12 00:04:40
22353,96.7,18.5,2023-09-12 00:04:42
22354,96.7,18.7,2023-09-12 00:04:44
22355,96.8,18.6,2023-09-12 00:04:46
22356,96.7,18.5,2023-09-12 00:04:48
22357,96.7,18.5,2023-09-12 00:04:50
22358,96.6,18.6,2023-09-12 00:04:52
22359,96.7,18.5,2023-09-12 00:04:54
22360,96.7,18.5,2023-09-12 00:05:00
22361,96.8,18.5,2023-09-12 00:05:02
22362,96.7,18.6,2023-09-12 00:05:04
22363,96.6,18.6,2023-09-12 00:05:06
22364,96.8,18.6,2023-09-12 00:05:08
22365,96.7,18.6,2023-09-12 00:05:10
22366,96.8,18.6,2023-09-12 00:05:12
22367,96.7,18.6,2023-09-12 00:05:14
22368,96.8,18.6,2023-09-12 00:05:16
22369,96.6,18.5,2023-09-12 00:05:18
22370,96.8,18.6,2023-09-12 00:05:20
22371,96.6,18.6,2023-09-12 00:05:22
22372,96.7,18.5,2023-09-12 00:05:24
22373,96.7,18.6,2023-09-12 00:05:30
22374,96.6,18.6,2023-09-12 00:05:32
22375,96.6,18.5,2023-09-12 00:05:34
22376,96.6,18.6,2023-09-12 00:05:36
22377,96.5,18.6,2023-09-12 00:05:38
22378,96.7,18.5,2023-09-12 00:05:40
22379,96.6,18.5,2023-09-12 00:05:42
22380,96.7,18.6,2023-09-12 00:05:44
22381,96.7,18.5,2023-09-12 00:05:46
22382,96.6,18.5,2023-09-12 00:05:48
22383,96.7,18.5,2023-09-12 00:05:50
22384,96.7,18.5,2023-09-12 00:05:52
22385,96.7,18.6,2023-09-12 00:05:54
22386,96.7,18.6,2023-09-12 00:06:01
22387,96.6,18.5,2023-09-12 00:06:02
22388,96.8,18.6,2023-09-12 00:06:04
22389,96.7,18.6,2023-09-12 00:06:06
22390,96.6,18.6,2023-09-12 00:06:08
22391,96.8,18.6,2023-09-12 00:06:10
22392,96.8,18.5,2023-09-12 00:06:12
22393,96.7,18.6,2023-09-12 00:06:15
22394,96.7,18.5,2023-09-12 00:06:16
22395,96.8,18.5,2023-09-12 00:06:19
22396,96.7,18.6,2023-09-12 00:06:21
22397,96.7,18.5,2023-09-12 00:06:23
22398,96.8,18.5,2023-09-12 00:06:25
22399,96.6,18.5,2023-09-12 00:06:31
22400,96.7,18.5,2023-09-12 00:06:33
22401,96.7,18.6,2023-09-12 00:06:35
22402,96.7,18.5,2023-09-12 00:06:37
22403,96.7,18.5,2023-09-12 00:06:39
22404,96.5,18.5,2023-09-12 00:06:41
22405,96.7,18.7,2023-09-12 00:06:43
22406,96.7,18.5,2023-09-12 00:06:45
22407,96.6,18.6,2023-09-12 00:06:47
22408,96.7,18.5,2023-09-12 00:06:49
22409,96.8,18.6,2023-09-12 00:06:51
22410,96.6,18.5,2023-09-12 00:06:53
22411,96.7,18.6,2023-09-12 00:06:55
22412,96.7,18.5,2023-09-12 00:07:01
22413,96.8,18.6,2023-09-12 00:07:03
22414,96.8,18.6,2023-09-12 00:07:05
22415,96.6,18.5,2023-09-12 00:07:07
22416,96.8,18.5,2023-09-12 00:07:09
22417,96.6,18.6,2023-09-12 00:07:11
22418,96.8,18.5,2023-09-12 00:07:13
22419,96.8,18.5,2023-09-12 00:07:15
22420,96.8,18.6,2023-09-12 00:07:17
22421,96.7,18.5,2023-09-12 00:07:19
22422,96.6,18.6,2023-09-12 00:07:21
22423,96.6,18.5,2023-09-12 00:07:23
22424,96.8,18.5,2023-09-12 00:07:25
22425,96.6,18.6,2023-09-12 00:07:31
22426,96.6,18.5,2023-09-12 00:07:33
22427,96.8,18.5,2023-09-12 00:07:35
22428,96.8,18.5,2023-09-12 00:07:37
22429,96.8,18.6,2023-09-12 00:07:39
22430,96.7,18.5,2023-09-12 00:07:41
