,rh,datetime
376143,78.3,2023-09-08 00:00:01
376144,78.4,2023-09-08 00:00:02
376145,78.4,2023-09-08 00:00:05
376146,78.4,2023-09-08 00:00:06
376147,78.3,2023-09-08 00:00:09
376148,78.4,2023-09-08 00:00:10
376149,78.4,2023-09-08 00:00:13
376150,78.3,2023-09-08 00:00:14
376151,78.4,2023-09-08 00:00:17
376152,78.5,2023-09-08 00:00:18
376153,78.5,2023-09-08 00:00:21
376154,78.4,2023-09-08 00:00:22
376155,78.4,2023-09-08 00:00:25
376156,78.5,2023-09-08 00:00:31
376157,78.5,2023-09-08 00:00:32
376158,78.6,2023-09-08 00:00:35
376159,78.5,2023-09-08 00:00:36
376160,78.4,2023-09-08 00:00:39
376161,78.5,2023-09-08 00:00:40
376162,78.4,2023-09-08 00:00:43
376163,78.5,2023-09-08 00:00:44
376164,78.6,2023-09-08 00:00:47
376165,78.5,2023-09-08 00:00:48
376166,78.6,2023-09-08 00:00:51
376167,78.6,2023-09-08 00:00:52
376168,78.6,2023-09-08 00:00:55
376169,78.6,2023-09-08 00:01:01
376170,78.7,2023-09-08 00:01:02
376171,78.8,2023-09-08 00:01:05
376172,78.7,2023-09-08 00:01:06
376173,78.7,2023-09-08 00:01:09
376174,78.7,2023-09-08 00:01:10
376175,78.7,2023-09-08 00:01:13
376176,78.8,2023-09-08 00:01:14
376177,78.6,2023-09-08 00:01:17
376178,78.7,2023-09-08 00:01:18
376179,78.7,2023-09-08 00:01:21
376180,78.7,2023-09-08 00:01:22
376181,78.6,2023-09-08 00:01:25
376182,78.8,2023-09-08 00:01:31
376183,78.7,2023-09-08 00:01:32
376184,78.8,2023-09-08 00:01:35
376185,78.8,2023-09-08 00:01:36
376186,78.7,2023-09-08 00:01:39
376187,78.8,2023-09-08 00:01:40
376188,78.8,2023-09-08 00:01:43
376189,78.8,2023-09-08 00:01:44
376190,78.8,2023-09-08 00:01:47
376191,78.8,2023-09-08 00:01:48
376192,78.8,2023-09-08 00:01:51
376193,78.7,2023-09-08 00:01:52
376194,78.8,2023-09-08 00:01:55
376195,78.7,2023-09-08 00:02:01
376196,78.7,2023-09-08 00:02:03
376197,78.7,2023-09-08 00:02:05
376198,78.7,2023-09-08 00:02:07
376199,78.8,2023-09-08 00:02:09
376200,78.8,2023-09-08 00:02:10
376201,78.7,2023-09-08 00:02:13
376202,78.7,2023-09-08 00:02:15
376203,78.7,2023-09-08 00:02:17
376204,78.8,2023-09-08 00:02:19
376205,78.7,2023-09-08 00:02:21
376206,78.8,2023-09-08 00:02:23
376207,78.8,2023-09-08 00:02:24
376208,78.6,2023-09-08 00:02:32
376209,78.8,2023-09-08 00:02:34
376210,78.8,2023-09-08 00:02:35
376211,78.7,2023-09-08 00:02:37
376212,78.6,2023-09-08 00:02:39
376213,78.7,2023-09-08 00:02:40
376214,78.7,2023-09-08 00:02:42
376215,78.6,2023-09-08 00:02:44
376216,78.7,2023-09-08 00:02:46
376217,78.6,2023-09-08 00:02:48
376218,78.6,2023-09-08 00:02:50
376219,78.7,2023-09-08 00:02:52
376220,78.7,2023-09-08 00:02:54
376221,78.7,2023-09-08 00:02:56
376222,78.7,2023-09-08 00:03:03
376223,78.7,2023-09-08 00:03:05
376224,78.7,2023-09-08 00:03:06
376225,78.7,2023-09-08 00:03:08
376226,78.6,2023-09-08 00:03:11
376227,78.7,2023-09-08 00:03:13
376228,78.7,2023-09-08 00:03:15
376229,78.6,2023-09-08 00:03:17
376230,78.6,2023-09-08 00:03:19
376231,78.5,2023-09-08 00:03:21
376232,78.7,2023-09-08 00:03:23
376233,78.6,2023-09-08 00:03:25
376234,78.6,2023-09-08 00:03:27
376235,78.6,2023-09-08 00:03:33
376236,78.7,2023-09-08 00:03:35
376237,78.6,2023-09-08 00:03:37
376238,78.6,2023-09-08 00:03:39
376239,78.7,2023-09-08 00:03:41
376240,78.6,2023-09-08 00:03:43
376241,78.6,2023-09-08 00:03:45
376242,78.6,2023-09-08 00:03:47
376243,78.7,2023-09-08 00:03:49
376244,78.7,2023-09-08 00:03:51
376245,78.6,2023-09-08 00:03:53
376246,78.6,2023-09-08 00:03:55
376247,78.6,2023-09-08 00:03:57
376248,78.7,2023-09-08 00:04:03
376249,78.7,2023-09-08 00:04:05
376250,78.7,2023-09-08 00:04:07
376251,78.7,2023-09-08 00:04:09
376252,78.7,2023-09-08 00:04:11
376253,78.6,2023-09-08 00:04:13
376254,78.7,2023-09-08 00:04:15
376255,78.5,2023-09-08 00:04:17
376256,78.6,2023-09-08 00:04:19
376257,78.7,2023-09-08 00:04:21
376258,78.6,2023-09-08 00:04:23
376259,78.6,2023-09-08 00:04:25
376260,78.6,2023-09-08 00:04:27
376261,78.5,2023-09-08 00:04:33
376262,78.5,2023-09-08 00:04:35
376263,78.5,2023-09-08 00:04:37
376264,78.6,2023-09-08 00:04:39
376265,78.5,2023-09-08 00:04:41
376266,78.6,2023-09-08 00:04:43
