,temp,datetime
234028,13.812,2023-09-08 00:00:03
234029,13.812,2023-09-08 00:00:08
234030,13.812,2023-09-08 00:00:14
234031,13.812,2023-09-08 00:00:19
234032,13.812,2023-09-08 00:00:25
234033,13.812,2023-09-08 00:00:30
234034,13.812,2023-09-08 00:00:35
234035,13.875,2023-09-08 00:00:41
234036,13.812,2023-09-08 00:00:46
234037,13.812,2023-09-08 00:00:52
234038,13.812,2023-09-08 00:00:57
234039,13.875,2023-09-08 00:01:03
234040,13.875,2023-09-08 00:01:08
234041,13.812,2023-09-08 00:01:13
234042,13.812,2023-09-08 00:01:19
234043,13.812,2023-09-08 00:01:24
234044,13.812,2023-09-08 00:01:30
234045,13.812,2023-09-08 00:01:35
234046,13.875,2023-09-08 00:01:40
234047,13.812,2023-09-08 00:01:46
234048,13.875,2023-09-08 00:01:51
234049,13.875,2023-09-08 00:01:56
234050,13.875,2023-09-08 00:02:02
234051,13.875,2023-09-08 00:02:07
234052,13.875,2023-09-08 00:02:12
234053,13.875,2023-09-08 00:02:18
234054,13.875,2023-09-08 00:02:23
234055,13.875,2023-09-08 00:02:29
234056,13.875,2023-09-08 00:02:34
234057,13.875,2023-09-08 00:02:39
234058,13.875,2023-09-08 00:02:45
234059,13.875,2023-09-08 00:02:50
234060,13.875,2023-09-08 00:02:56
234061,13.875,2023-09-08 00:03:01
234062,13.875,2023-09-08 00:03:06
234063,13.875,2023-09-08 00:03:12
234064,13.875,2023-09-08 00:03:17
234065,13.875,2023-09-08 00:03:22
234066,13.875,2023-09-08 00:03:28
234067,13.875,2023-09-08 00:03:33
234068,13.875,2023-09-08 00:03:39
234069,13.875,2023-09-08 00:03:44
234070,13.875,2023-09-08 00:03:49
234071,13.875,2023-09-08 00:03:55
234072,13.875,2023-09-08 00:04:00
234073,13.875,2023-09-08 00:04:05
234074,13.875,2023-09-08 00:04:11
234075,13.875,2023-09-08 00:04:16
234076,13.875,2023-09-08 00:04:21
234077,13.875,2023-09-08 00:04:27
234078,13.875,2023-09-08 00:04:32
234079,13.875,2023-09-08 00:04:38
234080,13.875,2023-09-08 00:04:43
234081,13.875,2023-09-08 00:04:48
234082,13.875,2023-09-08 00:04:54
234083,13.875,2023-09-08 00:04:59
234084,13.875,2023-09-08 00:05:04
234085,13.875,2023-09-08 00:05:10
234086,13.875,2023-09-08 00:05:15
234087,13.875,2023-09-08 00:05:20
234088,13.875,2023-09-08 00:05:26
234089,13.875,2023-09-08 00:05:31
234090,13.875,2023-09-08 00:05:37
234091,13.875,2023-09-08 00:05:42
234092,13.875,2023-09-08 00:05:48
234093,13.875,2023-09-08 00:05:53
234094,13.875,2023-09-08 00:05:58
234095,13.875,2023-09-08 00:06:04
234096,13.875,2023-09-08 00:06:09
234097,13.875,2023-09-08 00:06:15
234098,13.875,2023-09-08 00:06:20
